month,day,year,budget,domestic,worldwide
Dec,18,2009,425,760.507625,2783.918982
Dec,19,1997,200,659.363944,2208.208395
Dec,18,2015,306,936.662225,2058.662225
Jun,12,2015,215,652.270625,1671.713208
May,4,2012,225,623.279547,1519.479547
Apr,3,2015,190,353.00702,1518.722794
May,1,2015,330.6,459.005868,1408.218722
Jul,15,2011,125,381.011219,1341.511219
Dec,15,2017,200,619.277731,1331.243897
Nov,22,2013,150,400.738009,1274.23498
Mar,17,2017,160,504.014165,1263.109573
Apr,14,2017,250,225.764765,1237.466026
May,3,2013,200,408.992272,1215.392272
Jul,10,2015,74,336.04577,1167.245366
May,6,2016,250,408.084349,1153.304495
Dec,17,2003,94,377.845905,1141.403341
Jun,29,2011,195,352.390543,1123.790543
Nov,8,2012,200,304.360277,1110.526981
Jun,27,2014,210,245.439076,1104.039076
Jul,20,2012,275,448.139099,1084.439099
Jun,18,2010,200,415.00488,1069.666004
Jul,7,2006,225,423.315812,1066.215812
Dec,16,2016,200,532.177324,1050.988488
May,20,2011,410.6,241.063875,1045.663875
Jun,11,1993,63,395.708305,1038.812584
Jun,30,2017,75,264.6243,1034.542646
May,19,1999,115,474.544677,1027.044677
Mar,5,2010,200,334.19111,1025.49111
Jun,17,2016,200,486.295561,1022.617376
Mar,4,2016,150,341.268248,1019.920974
Dec,14,2012,250,303.003568,1017.003568
Jul,18,2008,185,533.345358,1001.620618
Jun,15,1994,79.3,422.78014,987.45139
Jul,3,2013,76,368.065385,975.216835
Nov,16,2001,125,317.57555,974.755371
Apr,15,2016,175,364.001123,963.901123
May,24,2007,300,309.420425,963.420425
Dec,13,2013,250,258.366855,960.366855
Nov,19,2010,125,295.983305,960.283305
Dec,17,2014,250,255.119788,955.119788
Feb,16,2018,200,530.851601,944.951601
Jul,11,2007,150,292.004738,942.943935
May,19,2004,70,441.226247,937.008132
May,30,2003,94,380.52937,936.42937
Jul,15,2009,250,301.959197,935.083686
Dec,18,2002,94,342.548984,934.699645
Dec,20,2017,90,395.168021,931.369459
Nov,18,2005,150,290.013036,896.911078
May,4,2007,258,336.530303,894.86023
Dec,19,2001,109,315.54475,887.210985
Jul,7,2017,175,334.20114,880.206511
Jul,13,2012,95,161.321843,879.765137
Nov,6,2015,300,200.074175,879.620923
Nov,15,2002,100,261.98788,878.979634
Jul,8,2016,75,368.38433,875.952759
Mar,25,2016,250,330.360194,868.160194
Nov,22,2013,130,424.668047,864.868047
May,5,2017,200,389.813101,863.197744
Jul,1,2009,90,196.573705,859.701857
Jun,19,2015,175,356.461711,853.707581
Nov,3,2017,180,315.003103,850.598226
May,19,2005,115,380.270577,848.998877
Jun,24,2009,210,402.11187,836.519699
Jul,16,2010,160,292.576195,832.402082
Nov,16,2012,136.2,292.324737,829.724737
May,3,2002,139,403.706375,821.706375
Jul,2,1996,75,306.169255,817.400878
Jun,2,2017,150,412.563408,817.012815
May,17,2007,160,322.719944,807.330936
Nov,18,2016,180,234.037575,803.798342
Feb,12,2016,58,363.070709,801.029249
Jun,4,2004,130,249.538952,796.688549
Jun,30,2004,200,373.524485,795.11067
May,26,2017,230,172.558876,794.758876
Jun,11,1982,10.5,435.110554,792.965326
May,24,2013,160,238.67985,789.300444
Nov,13,2009,200,166.112167,788.408539
May,22,2008,185,317.101119,786.635413
May,25,1977,11,460.998007,786.598007
Aug,1,2014,170,333.172112,771.051335
May,19,2006,125,217.536138,767.820459
Nov,21,2014,125,337.135885,766.652288
May,30,2014,180,241.407328,758.536735
Jul,3,2012,220,262.030663,757.890267
May,21,2010,165,238.736787,756.244673
May,23,2014,200,233.921534,747.862775
Jun,8,2012,145,216.391482,746.921271
Aug,5,2016,175,325.100054,746.100054
Jun,21,2013,200,268.488329,743.588329
Nov,22,2017,175,208.643333,738.986156
May,15,2003,150,281.553689,738.576929
May,29,2009,175,293.004164,731.463377
Dec,9,2005,180,291.710957,720.539572
Apr,4,2014,170,259.746958,714.401889
Jul,11,2014,170,208.545589,710.644566
May,2,2014,200,202.853933,708.996336
Jul,2,2007,151,319.246193,708.272592
Jun,30,2010,68,300.531751,706.102828
Jul,31,2015,150,195.042377,700.868363
Sep,8,2017,35,327.481748,697.459228
Oct,4,2013,110,274.092705,695.941797
Dec,16,2011,145,209.397903,694.71323
Nov,18,2011,127.5,281.287133,689.420051
Jul,6,1994,55,330.151138,679.850637
Jul,6,1994,55,330.151138,679.850637
Mar,23,2012,80,408.010692,677.923379
Nov,4,2016,165,232.64192,677.54192
Aug,6,1999,40,293.506292,672.806292
Jun,14,2013,225,291.045518,667.999518
Nov,5,2014,165,188.017894,667.752422
May,26,2011,150,165.249063,664.837547
Oct,2,2015,108,228.433663,663.851905
May,16,2002,115,310.67674,656.695615
Nov,17,2017,300,228.977297,655.906448
May,25,2012,215,179.020854,654.213485
Nov,7,2014,165,222.527828,652.127828
Mar,31,2006,75,195.330621,651.899282
Nov,20,2015,160,281.723902,650.523427
Nov,8,2013,150,206.36214,644.602516
Nov,23,2016,150,248.757044,639.537208
Jul,9,2003,140,305.411224,634.954103
Dec,21,2016,75,270.329045,634.28774
Jun,6,2008,130,215.434591,631.910531
Apr,29,2011,125,210.031325,630.163454
Jun,29,2007,150,206.445654,626.549695
Jul,1,2008,150,227.946274,624.234272
Feb,25,2004,25,370.78293,622.341924
May,7,2010,170,312.433331,621.156389
May,22,1997,75,229.086679,618.638999
Mar,3,2017,127,226.277068,615.577068
Nov,5,2004,92,261.441092,614.726752
Jun,13,2014,145,177.002924,614.58627
Nov,21,2012,120,124.987022,607.987022
Jun,29,2005,132,234.280354,606.836535
Jun,21,2017,217,130.168683,603.968683
Nov,7,2008,150,180.17488,599.680774
Nov,17,2006,102,167.365,594.420283
Nov,14,2008,230,169.368427,591.692078
Jul,1,1997,90,250.690539,587.790539
Nov,24,2010,260,200.821936,586.47724
May,26,2011,80,254.464305,586.464305
Dec,14,2007,150,256.39301,585.532684
May,2,2008,186,318.604126,585.171547
Dec,22,2006,110,250.863268,579.446407
Mar,22,2013,135,187.168425,573.068425
May,25,1983,32.5,309.205079,572.705079
Feb,13,2015,40,166.16723,570.998101
Jul,29,2011,110,142.614158,563.749323
Mar,10,2017,185,168.052812,561.137727
Jun,24,2011,200,191.450875,560.155383
Nov,2,2001,115,289.423425,559.757719
May,27,2005,75,193.595521,556.559566
May,28,2004,125,186.740799,556.31945
Oct,28,2011,130,149.260504,554.987477
Jun,22,2012,185,237.282182,554.606532
Jul,1,1998,140,201.578182,554.6
Feb,19,2016,60.72,3.229457,552.198479
Dec,14,2005,207,218.080025,550.517357
May,24,2000,120,215.409889,549.588516
Dec,25,2014,58,350.126372,547.326372
Jul,9,2010,69,251.513985,543.495033
May,27,2016,178,155.442489,542.742489
Dec,16,2011,125,186.848418,535.663443
Mar,13,2015,95,201.151353,534.551353
May,21,1980,23,290.27196,534.17196
Dec,25,2015,135,183.637894,532.950503
Jun,27,2008,180,223.808164,532.508025
Jun,21,2013,190,202.359711,531.51465
May,16,2014,160,200.676069,529.076069
Jul,27,2007,72.5,183.135014,527.071022
Jul,17,2015,130,180.202163,519.338048
Jan,29,2016,140,143.528619,518.614383
Jul,13,1990,22,217.631306,517.6
Dec,22,2004,60,279.167575,516.567575
Jul,2,1991,100,203.464105,515.419827
Nov,19,1999,90,245.852179,511.358276
Nov,11,1992,28,217.350219,504.050219
Jul,21,2017,150,188.373161,499.518504
Dec,25,2009,90,209.028679,498.438212
Nov,2,2012,165,189.412677,496.511521
May,10,1996,88,241.688385,495.7
Mar,26,2010,165,217.581232,494.870992
Apr,1,2010,125,163.214888,493.214888
Apr,11,2014,130,131.538435,492.846291
Mar,31,2017,125,175.003033,492.317334
May,15,2009,150,133.375846,490.875846
Mar,8,2013,200,234.770996,490.359051
Jul,14,2017,152,146.880162,490.280162
Apr,15,2011,90,143.619809,487.519809
Jun,10,2005,110,186.336279,486.12409
Jul,24,1998,65,216.335085,485.035085
Aug,8,2014,125,191.204754,485.004754
May,25,2012,10.8,13.182281,484.873045
May,23,2003,81,242.704995,484.468608
May,14,2004,150,133.298577,484.161265
Aug,5,2011,93,176.760185,482.860185
Nov,16,1990,15,285.761243,476.684675
Jul,15,2005,150,206.459076,475.825484
May,24,1989,48,197.171806,474.171806
Sep,25,2015,80,169.70011,470.751398
Jun,20,1975,12,260,470.7
May,16,2013,190,228.778661,467.381584
May,29,2015,110,155.190832,467.15116
Jun,5,2009,35,277.322503,465.764086
Mar,31,1999,65,171.47993,463.517383
Jun,9,2006,70,244.082982,461.651246
May,26,2006,210,234.362462,459.260946
Feb,7,2014,60,257.784718,457.729388
May,21,1996,80,180.981886,457.697994
May,5,2000,103,187.683805,457.683805
Jul,25,2014,40,126.57396,457.507776
Dec,5,2003,140,111.110575,456.810575
Mar,9,2007,60,210.614939,454.161935
Nov,13,1991,20,218.951625,451.329842
Dec,7,2001,85,183.41715,450.728529
Dec,25,2012,100,162.805434,449.948323
May,6,2011,150,181.030624,449.326618
May,25,2001,151.5,198.539855,449.239855
Jun,16,1999,145,171.091819,448.191819
Dec,23,2009,70,219.614612,443.483213
Dec,25,2012,65,148.80977,442.169052
Aug,3,2007,130,227.47107,442.161562
Jul,3,2002,140,190.418803,441.767803
Nov,24,1993,25,219.195051,441.286003
Jul,1,2015,155,89.760956,440.160956
May,4,2001,98,202.00764,435.040395
Jun,10,2016,160,47.225655,433.125655
Jul,1,2003,170,150.358296,433.058296
Mar,23,1990,14,178.406268,432.645872
Nov,22,2002,142,160.942139,431.942139
Dec,9,2016,20,151.101803,431.286372
Nov,26,2010,15,138.797449,430.821168
Nov,5,2003,150,139.27091,427.30026
Dec,22,2000,85,233.632142,427.230516
Nov,9,1990,19,184.208842,424.2
Dec,10,2010,155,104.38695,418.18695
May,16,2008,225,141.62149,417.341288
Jul,26,2013,115,132.556852,416.456852
May,7,1999,80,155.385488,416.385488
Jul,29,2016,120,162.19292,416.197059
May,30,2008,57.5,152.647258,415.247258
May,30,2008,57.5,152.647258,415.247258
Dec,16,1988,25,172.825435,412.8
Jun,23,1989,35,251.188924,411.348924
Jul,12,2013,190,101.802906,411.002906
Nov,25,1992,25,121.94572,410.9
Jun,9,2017,195,80.101125,410.333326
Sep,22,2017,104,100.234838,408.834838
Aug,2,2002,70.702619,227.969295,408.269295
May,2,2003,125,214.949694,406.875536
Aug,1,2008,175,102.491776,405.760225
Feb,13,2015,94,128.261724,404.561724
Jul,22,2016,105,64.063008,403.841637
Dec,26,1973,12,204.868002,402.735134
Jun,8,2012,125,126.477084,402.448265
Nov,21,2008,37,192.769854,402.280159
May,22,2009,150,177.243721,402.231063
Jun,1,2012,170,155.136755,401.021746
Dec,17,2010,200,172.062763,400.062763
May,5,2006,150,133.501348,397.501348
Dec,15,1939,3.9,198.68047,390.525192
Dec,25,2013,100,116.900694,389.870414
Jun,24,2016,165,103.144286,387.644286
Jun,16,1978,6,181.81377,387.51377
Jan,22,2016,56,0.032766,386.152042
Jan,22,2016,56,0.032766,386.152042
Mar,15,2002,65,176.387405,386.116343
Mar,27,2015,130,177.39751,386.06939
May,8,2009,140,257.730019,385.680446
Jul,3,1985,19,212.259762,385.524862
Nov,17,2006,85,198.000317,385.000317
Nov,12,2008,14,141.330703,384.53044
Jun,27,2007,110,134.529403,382.288147
Mar,27,2009,175,198.351526,381.68738
Feb,10,2017,55,114.43401,381.081967
Feb,10,2017,55,114.43401,381.081967
Sep,28,2012,85,148.313048,378.505812
Oct,5,2012,45,139.854287,377.807404
Dec,20,2017,84,166.185401,377.006196
May,19,1998,125,136.314294,376
Mar,27,2013,140,122.52306,375.740705
Apr,19,2002,5,241.438208,374.890034
May,1,2009,150,179.883157,374.82576
Dec,15,2000,65,182.805123,374.105123
Jun,28,2006,232,200.12,374.085065
Dec,21,2011,130,77.591831,373.993951
Oct,1,2004,75,161.412,371.917043
May,15,2015,150,153.636354,370.742166
Jul,22,2011,140,176.654505,370.569776
Jun,6,2014,178,100.206256,370.541256
Jul,15,1998,22,176.484651,369.884651
Oct,3,2014,61,167.767189,368.567189
