RM,LSTAT,MEDV
6.575,4.98,24.0
6.421,9.14,21.6
7.185,4.03,34.7
6.998,2.94,33.4
7.147,5.33,36.2
6.43,5.21,28.7
6.012,12.43,22.9
6.172,19.15,27.1
5.631,29.93,16.5
6.004,17.1,18.9
6.377,20.45,15.0
6.009,13.27,18.9
5.889,15.71,21.7
5.949,8.26,20.4
6.096,10.26,18.2
5.834,8.47,19.9
5.935,6.58,23.1
5.99,14.67,17.5
5.456,11.69,20.2
5.727,11.28,18.2
5.57,21.02,13.6
5.965,13.83,19.6
6.142,18.72,15.2
5.813,19.88,14.5
5.924,16.3,15.6
5.599,16.51,13.9
5.813,14.81,16.6
6.047,17.28,14.8
6.495,12.8,18.4
6.674,11.98,21.0
5.713,22.6,12.7
6.072,13.04,14.5
5.95,27.71,13.2
5.701,18.35,13.1
6.096,20.34,13.5
5.933,9.68,18.9
5.841,11.41,20.0
5.85,8.77,21.0
5.966,10.13,24.7
6.595,4.32,30.8
7.024,1.98,34.9
6.77,4.84,26.6
6.169,5.81,25.3
6.211,7.44,24.7
6.069,9.55,21.2
5.682,10.21,19.3
5.786,14.15,20.0
6.03,18.8,16.6
5.399,30.81,14.4
5.602,16.2,19.4
5.963,13.45,19.7
6.115,9.43,20.5
6.511,5.28,25.0
5.998,8.43,23.4
5.888,14.8,18.9
7.249,4.81,35.4
6.383,5.77,24.7
6.816,3.95,31.6
6.145,6.86,23.3
5.927,9.22,19.6
5.741,13.15,18.7
5.966,14.44,16.0
6.456,6.73,22.2
6.762,9.5,25.0
7.104,8.05,33.0
6.29,4.67,23.5
5.787,10.24,19.4
5.878,8.1,22.0
5.594,13.09,17.4
5.885,8.79,20.9
6.417,6.72,24.2
5.961,9.88,21.7
6.065,5.52,22.8
6.245,7.54,23.4
6.273,6.78,24.1
6.286,8.94,21.4
6.279,11.97,20.0
6.14,10.27,20.8
6.232,12.34,21.2
5.874,9.1,20.3
6.727,5.29,28.0
6.619,7.22,23.9
6.302,6.72,24.8
6.167,7.51,22.9
6.389,9.62,23.9
6.63,6.53,26.6
6.015,12.86,22.5
6.121,8.44,22.2
7.007,5.5,23.6
7.079,5.7,28.7
6.417,8.81,22.6
6.405,8.2,22.0
6.442,8.16,22.9
6.211,6.21,25.0
6.249,10.59,20.6
6.625,6.65,28.4
6.163,11.34,21.4
8.069,4.21,38.7
7.82,3.57,43.8
7.416,6.19,33.2
6.727,9.42,27.5
6.781,7.67,26.5
6.405,10.63,18.6
6.137,13.44,19.3
6.167,12.33,20.1
5.851,16.47,19.5
5.836,18.66,19.5
6.127,14.09,20.4
6.474,12.27,19.8
6.229,15.55,19.4
6.195,13.0,21.7
6.715,10.16,22.8
5.913,16.21,18.8
6.092,17.09,18.7
6.254,10.45,18.5
5.928,15.76,18.3
6.176,12.04,21.2
6.021,10.3,19.2
5.872,15.37,20.4
5.731,13.61,19.3
5.87,14.37,22.0
6.004,14.27,20.3
5.961,17.93,20.5
5.856,25.41,17.3
5.879,17.58,18.8
5.986,14.81,21.4
